entrez_gene_id	status	symbol	type_of_gene	description
132	imputed	ADK	protein-coding	adenosine kinase
1326	imputed	MAP3K8	protein-coding	mitogen-activated protein kinase kinase kinase 8
1327	imputed	COX4I1	protein-coding	cytochrome c oxidase subunit IV isoform 1
1329	imputed	COX5B	protein-coding	cytochrome c oxidase subunit Vb
133	imputed	ADM	protein-coding	adrenomedullin
133619	imputed	PRRC1	protein-coding	proline-rich coiled-coil 1
1337	imputed	COX6A1	protein-coding	cytochrome c oxidase subunit VIa polypeptide 1
1340	imputed	COX6B1	protein-coding	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)
1345	imputed	COX6C	protein-coding	cytochrome c oxidase subunit VIc
1347	imputed	COX7A2	protein-coding	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)
1349	imputed	COX7B	protein-coding	cytochrome c oxidase subunit VIIb
1350	imputed	COX7C	protein-coding	cytochrome c oxidase subunit VIIc
1351	imputed	COX8A	protein-coding	cytochrome c oxidase subunit VIIIA (ubiquitous)
1352	imputed	COX10	protein-coding	COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor
1353	imputed	COX11	protein-coding	COX11 cytochrome c oxidase copper chaperone
1355	imputed	COX15	protein-coding	cytochrome c oxidase assembly homolog 15 (yeast)
1356	imputed	CP	protein-coding	ceruloplasmin (ferroxidase)
136	imputed	ADORA2B	protein-coding	adenosine A2b receptor
1362	imputed	CPD	protein-coding	carboxypeptidase D
1364	imputed	CLDN4	protein-coding	claudin 4
1365	imputed	CLDN3	protein-coding	claudin 3
1368	imputed	CPM	protein-coding	carboxypeptidase M
1371	imputed	CPOX	protein-coding	coproporphyrinogen oxidase
1373	imputed	CPS1	protein-coding	carbamoyl-phosphate synthase 1, mitochondrial
1374	imputed	CPT1A	protein-coding	carnitine palmitoyltransferase 1A (liver)
1376	imputed	CPT2	protein-coding	carnitine palmitoyltransferase 2
137886	imputed	UBXN2B	protein-coding	UBX domain protein 2B
1380	imputed	CR2	protein-coding	complement component (3d/Epstein Barr virus) receptor 2
138050	imputed	HGSNAT	protein-coding	heparan-alpha-glucosaminide N-acetyltransferase
138151	imputed	NACC2	protein-coding	NACC family member 2, BEN and BTB (POZ) domain containing
138162	imputed	C9orf116	protein-coding	chromosome 9 open reading frame 116
1384	imputed	CRAT	protein-coding	carnitine O-acetyltransferase
1385	measured	CREB1	protein-coding	cAMP responsive element binding protein 1
1386	imputed	ATF2	protein-coding	activating transcription factor 2
1387	imputed	CREBBP	protein-coding	CREB binding protein
1388	imputed	ATF6B	protein-coding	activating transcription factor 6 beta
1389	imputed	CREBL2	protein-coding	cAMP responsive element binding protein-like 2
1390	imputed	CREM	protein-coding	cAMP responsive element modulator
139322	imputed	APOOL	protein-coding	apolipoprotein O-like
1396	imputed	CRIP1	protein-coding	cysteine-rich protein 1 (intestinal)
1397	imputed	CRIP2	protein-coding	cysteine-rich protein 2
1398	measured	CRK	protein-coding	v-crk avian sarcoma virus CT10 oncogene homolog
1399	measured	CRKL	protein-coding	v-crk avian sarcoma virus CT10 oncogene homolog-like
14	imputed	AAMP	protein-coding	angio-associated, migratory cell protein
140459	imputed	ASB6	protein-coding	ankyrin repeat and SOCS box containing 6
140462	imputed	ASB9	protein-coding	ankyrin repeat and SOCS box containing 9
140465	imputed	MYL6B	protein-coding	myosin, light chain 6B, alkali, smooth muscle and non-muscle
140467	imputed	ZNF358	protein-coding	zinc finger protein 358
140609	imputed	NEK7	protein-coding	NIMA-related kinase 7
1407	imputed	CRY1	protein-coding	cryptochrome circadian clock 1
140890	imputed	SREK1	protein-coding	splicing regulatory glutamine/lysine-rich protein 1
1410	imputed	CRYAB	protein-coding	crystallin, alpha B
142	measured	PARP1	protein-coding	poly (ADP-ribose) polymerase 1
1429	measured	CRYZ	protein-coding	crystallin, zeta (quinone reductase)
143	imputed	PARP4	protein-coding	poly (ADP-ribose) polymerase family, member 4
1431	imputed	CS	protein-coding	citrate synthase
1432	imputed	MAPK14	protein-coding	mitogen-activated protein kinase 14
1434	imputed	CSE1L	protein-coding	CSE1 chromosome segregation 1-like (yeast)
1437	imputed	CSF2	protein-coding	colony stimulating factor 2 (granulocyte-macrophage)
144404	imputed	TMEM120B	protein-coding	transmembrane protein 120B
1445	measured	CSK	protein-coding	c-src tyrosine kinase
144699	imputed	FBXL14	protein-coding	F-box and leucine-rich repeat protein 14
1452	measured	CSNK1A1	protein-coding	casein kinase 1, alpha 1
1453	imputed	CSNK1D	protein-coding	casein kinase 1, delta
145389	imputed	SLC38A6	protein-coding	solute carrier family 38, member 6
1454	measured	CSNK1E	protein-coding	casein kinase 1, epsilon
1455	imputed	CSNK1G2	protein-coding	casein kinase 1, gamma 2
1456	imputed	CSNK1G3	protein-coding	casein kinase 1, gamma 3
1457	imputed	CSNK2A1	protein-coding	casein kinase 2, alpha 1 polypeptide
1459	measured	CSNK2A2	protein-coding	casein kinase 2, alpha prime polypeptide
1460	imputed	CSNK2B	protein-coding	casein kinase 2, beta polypeptide
1462	imputed	VCAN	protein-coding	versican
1465	measured	CSRP1	protein-coding	cysteine and glycine-rich protein 1
1466	imputed	CSRP2	protein-coding	cysteine and glycine-rich protein 2
146712	imputed	B3GNTL1	protein-coding	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1
1468	imputed	SLC25A10	protein-coding	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10
1469	imputed	CST1	protein-coding	cystatin SN
146909	imputed	KIF18B	protein-coding	kinesin family member 18B
1470	imputed	CST2	protein-coding	cystatin SA
1471	imputed	CST3	protein-coding	cystatin C
147179	measured	WIPF2	protein-coding	WAS/WASL interacting protein family, member 2
1472	imputed	CST4	protein-coding	cystatin S
1474	imputed	CST6	protein-coding	cystatin E/M
1475	imputed	CSTA	protein-coding	cystatin A (stefin A)
1476	imputed	CSTB	protein-coding	cystatin B (stefin B)
1477	imputed	CSTF1	protein-coding	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa
1478	imputed	CSTF2	protein-coding	cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa
1479	imputed	CSTF3	protein-coding	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa
148022	measured	TICAM1	protein-coding	toll-like receptor adaptor molecule 1
1486	imputed	CTBS	protein-coding	chitobiase, di-N-acetyl-
1487	imputed	CTBP1	protein-coding	C-terminal binding protein 1
1488	imputed	CTBP2	protein-coding	C-terminal binding protein 2
1490	imputed	CTGF	protein-coding	connective tissue growth factor
1491	imputed	CTH	protein-coding	cystathionine gamma-lyase
149111	imputed	CNIH3	protein-coding	cornichon family AMPA receptor auxiliary protein 3
1495	imputed	CTNNA1	protein-coding	catenin (cadherin-associated protein), alpha 1, 102kDa
149603	imputed	RNF187	protein-coding	ring finger protein 187
1497	imputed	CTNS	protein-coding	cystinosin, lysosomal cystine transporter
1499	imputed	CTNNB1	protein-coding	catenin (cadherin-associated protein), beta 1, 88kDa
150	imputed	ADRA2A	protein-coding	adrenoceptor alpha 2A
1500	measured	CTNND1	protein-coding	catenin (cadherin-associated protein), delta 1
150094	imputed	SIK1	protein-coding	salt-inducible kinase 1
1503	imputed	CTPS1	protein-coding	CTP synthase 1
150759	imputed	LINC00342	ncRNA	long intergenic non-protein coding RNA 342
1508	imputed	CTSB	protein-coding	cathepsin B
1509	measured	CTSD	protein-coding	cathepsin D
1510	imputed	CTSE	protein-coding	cathepsin E
151011	imputed	SEPT10	protein-coding	septin 10
1511	imputed	CTSG	protein-coding	cathepsin G
1512	imputed	CTSH	protein-coding	cathepsin H
151230	imputed	KLHL23	protein-coding	kelch-like family member 23
1513	imputed	CTSK	protein-coding	cathepsin K
1514	measured	CTSL	protein-coding	cathepsin L
1515	imputed	CTSV	protein-coding	cathepsin V
1519	imputed	CTSO	protein-coding	cathepsin O
152006	imputed	RNF38	protein-coding	ring finger protein 38
152015	imputed	ROPN1B	protein-coding	rhophilin associated tail protein 1B
1521	imputed	CTSW	protein-coding	cathepsin W
1523	imputed	CUX1	protein-coding	cut-like homeobox 1
152559	imputed	PAQR3	protein-coding	progestin and adipoQ receptor family member III
1528	imputed	CYB5A	protein-coding	cytochrome b5 type A (microsomal)
1534	measured	CYB561	protein-coding	cytochrome b561
1535	imputed	CYBA	protein-coding	cytochrome b-245, alpha polypeptide
1537	imputed	CYC1	protein-coding	cytochrome c-1
154	measured	ADRB2	protein-coding	adrenoceptor beta 2, surface
1540	imputed	CYLD	protein-coding	cylindromatosis (turban tumor syndrome)
1543	imputed	CYP1A1	protein-coding	cytochrome P450, family 1, subfamily A, polypeptide 1
1545	imputed	CYP1B1	protein-coding	cytochrome P450, family 1, subfamily B, polypeptide 1
154881	imputed	KCTD7	protein-coding	potassium channel tetramerization domain containing 7
155066	imputed	ATP6V0E2	protein-coding	ATPase, H+ transporting V0 subunit e2
155400	imputed	NSUN5P1	pseudo	NOP2/Sun domain family, member 5 pseudogene 1
1556	imputed	CYP2B7P	pseudo	cytochrome P450, family 2, subfamily B, polypeptide 7, pseudogene
157567	imputed	ANKRD46	protein-coding	ankyrin repeat domain 46
157680	imputed	VPS13B	protein-coding	vacuolar protein sorting 13 homolog B (yeast)
1577	imputed	CYP3A5	protein-coding	cytochrome P450, family 3, subfamily A, polypeptide 5
157922	imputed	CAMSAP1	protein-coding	calmodulin regulated spectrin-associated protein 1
158	imputed	ADSL	protein-coding	adenylosuccinate lyase
158471	imputed	PRUNE2	protein-coding	prune homolog 2 (Drosophila)
158747	imputed	MOSPD2	protein-coding	motile sperm domain containing 2
159	imputed	ADSS	protein-coding	adenylosuccinate synthase
1591	imputed	CYP24A1	protein-coding	cytochrome P450, family 24, subfamily A, polypeptide 1
1595	imputed	CYP51A1	protein-coding	cytochrome P450, family 51, subfamily A, polypeptide 1
16	measured	AARS	protein-coding	alanyl-tRNA synthetase
1601	imputed	DAB2	protein-coding	Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)
1602	imputed	DACH1	protein-coding	dachshund family transcription factor 1
1603	imputed	DAD1	protein-coding	defender against cell death 1
1604	imputed	CD55	protein-coding	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
1605	measured	DAG1	protein-coding	dystroglycan 1 (dystrophin-associated glycoprotein 1)
161	imputed	AP2A2	protein-coding	adaptor-related protein complex 2, alpha 2 subunit
1611	imputed	DAP	protein-coding	death-associated protein
1612	imputed	DAPK1	protein-coding	death-associated protein kinase 1
1613	imputed	DAPK3	protein-coding	death-associated protein kinase 3
1615	imputed	DARS	protein-coding	aspartyl-tRNA synthetase
1616	measured	DAXX	protein-coding	death-domain associated protein
162	imputed	AP1B1	protein-coding	adaptor-related protein complex 1, beta 1 subunit
1622	imputed	DBI	protein-coding	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)
162427	imputed	FAM134C	protein-coding	family with sequence similarity 134, member C
1627	imputed	DBN1	protein-coding	drebrin 1
1628	imputed	DBP	protein-coding	D site of albumin promoter (albumin D-box) binding protein
1629	imputed	DBT	protein-coding	dihydrolipoamide branched chain transacylase E2
163	imputed	AP2B1	protein-coding	adaptor-related protein complex 2, beta 1 subunit
1632	imputed	ECI1	protein-coding	enoyl-CoA delta isomerase 1
1633	measured	DCK	protein-coding	deoxycytidine kinase
1634	imputed	DCN	protein-coding	decorin
1635	measured	DCTD	protein-coding	dCMP deaminase
1639	imputed	DCTN1	protein-coding	dynactin 1
164	imputed	AP1G1	protein-coding	adaptor-related protein complex 1, gamma 1 subunit
1642	imputed	DDB1	protein-coding	damage-specific DNA binding protein 1, 127kDa
1643	measured	DDB2	protein-coding	damage-specific DNA binding protein 2, 48kDa
1644	imputed	DDC	protein-coding	dopa decarboxylase (aromatic L-amino acid decarboxylase)
1645	imputed	AKR1C1	protein-coding	aldo-keto reductase family 1, member C1
1646	imputed	AKR1C2	protein-coding	aldo-keto reductase family 1, member C2
1647	measured	GADD45A	protein-coding	growth arrest and DNA-damage-inducible, alpha
1649	imputed	DDIT3	protein-coding	DNA-damage-inducible transcript 3
1650	imputed	DDOST	protein-coding	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)
1652	imputed	DDT	protein-coding	D-dopachrome tautomerase
1653	imputed	DDX1	protein-coding	DEAD (Asp-Glu-Ala-Asp) box helicase 1
1654	imputed	DDX3X	protein-coding	DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked
1655	imputed	DDX5	protein-coding	DEAD (Asp-Glu-Ala-Asp) box helicase 5
1657	imputed	DMXL1	protein-coding	Dmx-like 1
1659	imputed	DHX8	protein-coding	DEAH (Asp-Glu-Ala-His) box polypeptide 8
166	imputed	AES	protein-coding	amino-terminal enhancer of split
1660	imputed	DHX9	protein-coding	DEAH (Asp-Glu-Ala-His) box helicase 9
1662	measured	DDX10	protein-coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
1663	imputed	DDX11	protein-coding	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11
1665	imputed	DHX15	protein-coding	DEAH (Asp-Glu-Ala-His) box helicase 15
1666	measured	DECR1	protein-coding	2,4-dienoyl CoA reductase 1, mitochondrial
166647	imputed	ADGRA3	protein-coding	adhesion G protein-coupled receptor A3
1672	imputed	DEFB1	protein-coding	defensin, beta 1
167227	imputed	DCP2	protein-coding	decapping mRNA 2
1673	imputed	DEFB4A	protein-coding	defensin, beta 4A
1675	imputed	CFD	protein-coding	complement factor D (adipsin)
1676	measured	DFFA	protein-coding	DNA fragmentation factor, 45kDa, alpha polypeptide
1677	measured	DFFB	protein-coding	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)
1678	imputed	TIMM8A	protein-coding	translocase of inner mitochondrial membrane 8 homolog A (yeast)
1687	imputed	DFNA5	protein-coding	deafness, autosomal dominant 5
1690	imputed	COCH	protein-coding	cochlin
169611	imputed	OLFML2A	protein-coding	olfactomedin-like 2A
170960	imputed	ZNF721	protein-coding	zinc finger protein 721
171017	imputed	ZNF384	protein-coding	zinc finger protein 384
171023	imputed	ASXL1	protein-coding	additional sex combs like transcriptional regulator 1
171546	imputed	SPTSSA	protein-coding	serine palmitoyltransferase, small subunit A
171586	imputed	ABHD3	protein-coding	abhydrolase domain containing 3
1716	imputed	DGUOK	protein-coding	deoxyguanosine kinase
1717	imputed	DHCR7	protein-coding	7-dehydrocholesterol reductase
1718	imputed	DHCR24	protein-coding	24-dehydrocholesterol reductase
1719	imputed	DHFR	protein-coding	dihydrofolate reductase
1723	imputed	DHODH	protein-coding	dihydroorotate dehydrogenase (quinone)
1725	imputed	DHPS	protein-coding	deoxyhypusine synthase
1727	imputed	CYB5R3	protein-coding	cytochrome b5 reductase 3
1728	imputed	NQO1	protein-coding	NAD(P)H dehydrogenase, quinone 1
1729	imputed	DIAPH1	protein-coding	diaphanous-related formin 1
1730	imputed	DIAPH2	protein-coding	diaphanous-related formin 2
1734	imputed	DIO2	protein-coding	deiodinase, iodothyronine, type II
1736	imputed	DKC1	protein-coding	dyskeratosis congenita 1, dyskerin
1737	imputed	DLAT	protein-coding	dihydrolipoamide S-acetyltransferase
1738	measured	DLD	protein-coding	dihydrolipoamide dehydrogenase
1739	imputed	DLG1	protein-coding	discs, large homolog 1 (Drosophila)
1743	imputed	DLST	protein-coding	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
1746	imputed	DLX2	protein-coding	distal-less homeobox 2
175	imputed	AGA	protein-coding	aspartylglucosaminidase
1755	imputed	DMBT1	protein-coding	deleted in malignant brain tumors 1
1759	measured	DNM1	protein-coding	dynamin 1
1763	imputed	DNA2	protein-coding	DNA replication helicase/nuclease 2
1774	imputed	DNASE1L1	protein-coding	deoxyribonuclease I-like 1
1776	imputed	DNASE1L3	protein-coding	deoxyribonuclease I-like 3
1777	imputed	DNASE2	protein-coding	deoxyribonuclease II, lysosomal
1778	imputed	DYNC1H1	protein-coding	dynein, cytoplasmic 1, heavy chain 1
178	measured	AGL	protein-coding	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
1781	imputed	DYNC1I2	protein-coding	dynein, cytoplasmic 1, intermediate chain 2
1783	imputed	DYNC1LI2	protein-coding	dynein, cytoplasmic 1, light intermediate chain 2
1785	imputed	DNM2	protein-coding	dynamin 2
1786	measured	DNMT1	protein-coding	DNA (cytosine-5-)-methyltransferase 1
1788	measured	DNMT3A	protein-coding	DNA (cytosine-5-)-methyltransferase 3 alpha
1789	imputed	DNMT3B	protein-coding	DNA (cytosine-5-)-methyltransferase 3 beta
1793	imputed	DOCK1	protein-coding	dedicator of cytokinesis 1
1796	imputed	DOK1	protein-coding	docking protein 1, 62kDa (downstream of tyrosine kinase 1)
1797	imputed	DXO	protein-coding	decapping exoribonuclease
1798	imputed	DPAGT1	protein-coding	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
18	imputed	ABAT	protein-coding	4-aminobutyrate aminotransferase
1802	measured	DPH2	protein-coding	DPH2 homolog (S. cerevisiae)
1808	imputed	DPYSL2	protein-coding	dihydropyrimidinase-like 2
1810	imputed	DR1	protein-coding	down-regulator of transcription 1, TBP-binding (negative cofactor 2)
1819	imputed	DRG2	protein-coding	developmentally regulated GTP binding protein 2
182	imputed	JAG1	protein-coding	jagged 1
1824	imputed	DSC2	protein-coding	desmocollin 2
1827	imputed	RCAN1	protein-coding	regulator of calcineurin 1
1829	measured	DSG2	protein-coding	desmoglein 2
183	imputed	AGT	protein-coding	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)
1830	imputed	DSG3	protein-coding	desmoglein 3
1831	measured	TSC22D3	protein-coding	TSC22 domain family, member 3
1832	imputed	DSP	protein-coding	desmoplakin
1836	imputed	SLC26A2	protein-coding	solute carrier family 26 (anion exchanger), member 2
1837	imputed	DTNA	protein-coding	dystrobrevin, alpha
1839	imputed	HBEGF	protein-coding	heparin-binding EGF-like growth factor
1841	imputed	DTYMK	protein-coding	deoxythymidylate kinase (thymidylate kinase)
1843	imputed	DUSP1	protein-coding	dual specificity phosphatase 1
1844	imputed	DUSP2	protein-coding	dual specificity phosphatase 2
1845	measured	DUSP3	protein-coding	dual specificity phosphatase 3
1846	measured	DUSP4	protein-coding	dual specificity phosphatase 4
1847	imputed	DUSP5	protein-coding	dual specificity phosphatase 5
1848	measured	DUSP6	protein-coding	dual specificity phosphatase 6
1849	imputed	DUSP7	protein-coding	dual specificity phosphatase 7
185	imputed	AGTR1	protein-coding	angiotensin II receptor, type 1
1850	imputed	DUSP8	protein-coding	dual specificity phosphatase 8
1854	imputed	DUT	protein-coding	deoxyuridine triphosphatase
1855	imputed	DVL1	protein-coding	dishevelled segment polarity protein 1
1856	imputed	DVL2	protein-coding	dishevelled segment polarity protein 2
1857	imputed	DVL3	protein-coding	dishevelled segment polarity protein 3
1859	imputed	DYRK1A	protein-coding	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A
1861	measured	TOR1A	protein-coding	torsin family 1, member A (torsin A)
1869	imputed	E2F1	protein-coding	E2F transcription factor 1
1870	measured	E2F2	protein-coding	E2F transcription factor 2
1871	imputed	E2F3	protein-coding	E2F transcription factor 3
1875	imputed	E2F5	protein-coding	E2F transcription factor 5, p130-binding
1876	imputed	E2F6	protein-coding	E2F transcription factor 6
1889	imputed	ECE1	protein-coding	endothelin converting enzyme 1
1891	measured	ECH1	protein-coding	enoyl CoA hydratase 1, peroxisomal
1892	imputed	ECHS1	protein-coding	enoyl CoA hydratase, short chain, 1, mitochondrial
1893	imputed	ECM1	protein-coding	extracellular matrix protein 1
1894	imputed	ECT2	protein-coding	epithelial cell transforming 2
19	imputed	ABCA1	protein-coding	ATP-binding cassette, sub-family A (ABC1), member 1
1902	imputed	LPAR1	protein-coding	lysophosphatidic acid receptor 1
1906	measured	EDN1	protein-coding	endothelin 1
191	imputed	AHCY	protein-coding	adenosylhomocysteinase
1910	imputed	EDNRB	protein-coding	endothelin receptor type B
1912	imputed	PHC2	protein-coding	polyhomeotic homolog 2 (Drosophila)
1917	imputed	EEF1A2	protein-coding	eukaryotic translation elongation factor 1 alpha 2
192286	imputed	HIGD2A	protein-coding	HIG1 hypoxia inducible domain family, member 2A
192669	imputed	AGO3	protein-coding	argonaute RISC catalytic component 3
1933	imputed	EEF1B2	protein-coding	eukaryotic translation elongation factor 1 beta 2
1936	imputed	EEF1D	protein-coding	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
1937	imputed	EEF1G	protein-coding	eukaryotic translation elongation factor 1 gamma
1938	imputed	EEF2	protein-coding	eukaryotic translation elongation factor 2
1939	imputed	EIF2D	protein-coding	eukaryotic translation initiation factor 2D
1942	imputed	EFNA1	protein-coding	ephrin-A1
1944	imputed	EFNA3	protein-coding	ephrin-A3
1945	imputed	EFNA4	protein-coding	ephrin-A4
1948	imputed	EFNB2	protein-coding	ephrin-B2
1950	measured	EGF	protein-coding	epidermal growth factor
1951	imputed	CELSR3	protein-coding	cadherin, EGF LAG seven-pass G-type receptor 3
1952	imputed	CELSR2	protein-coding	cadherin, EGF LAG seven-pass G-type receptor 2
1954	imputed	MEGF8	protein-coding	multiple EGF-like-domains 8
1955	imputed	MEGF9	protein-coding	multiple EGF-like-domains 9
1956	measured	EGFR	protein-coding	epidermal growth factor receptor
1958	measured	EGR1	protein-coding	early growth response 1
1959	imputed	EGR2	protein-coding	early growth response 2
196	imputed	AHR	protein-coding	aryl hydrocarbon receptor
1960	imputed	EGR3	protein-coding	early growth response 3
1962	imputed	EHHADH	protein-coding	enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase
1964	imputed	EIF1AX	protein-coding	eukaryotic translation initiation factor 1A, X-linked
196441	imputed	ZFC3H1	protein-coding	zinc finger, C3H1-type containing
196483	imputed	EEF2KMT	protein-coding	eukaryotic elongation factor 2 lysine methyltransferase
1965	imputed	EIF2S1	protein-coding	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa
1967	imputed	EIF2B1	protein-coding	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa
1968	imputed	EIF2S3	protein-coding	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa
1969	imputed	EPHA2	protein-coding	EPH receptor A2
1973	imputed	EIF4A1	protein-coding	eukaryotic translation initiation factor 4A1
1974	imputed	EIF4A2	protein-coding	eukaryotic translation initiation factor 4A2
1975	imputed	EIF4B	protein-coding	eukaryotic translation initiation factor 4B
1977	imputed	EIF4E	protein-coding	eukaryotic translation initiation factor 4E
1978	measured	EIF4EBP1	protein-coding	eukaryotic translation initiation factor 4E binding protein 1
1979	imputed	EIF4EBP2	protein-coding	eukaryotic translation initiation factor 4E binding protein 2
1981	measured	EIF4G1	protein-coding	eukaryotic translation initiation factor 4 gamma, 1
1982	imputed	EIF4G2	protein-coding	eukaryotic translation initiation factor 4 gamma, 2
1983	measured	EIF5	protein-coding	eukaryotic translation initiation factor 5
1984	imputed	EIF5A	protein-coding	eukaryotic translation initiation factor 5A
199	imputed	AIF1	protein-coding	allograft inflammatory factor 1
1992	imputed	SERPINB1	protein-coding	serpin peptidase inhibitor, clade B (ovalbumin), member 1
1994	measured	ELAVL1	protein-coding	ELAV like RNA binding protein 1
1997	imputed	ELF1	protein-coding	E74-like factor 1 (ets domain transcription factor)
1998	imputed	ELF2	protein-coding	E74-like factor 2 (ets domain transcription factor)
1999	imputed	ELF3	protein-coding	E74-like factor 3 (ets domain transcription factor, epithelial-specific )
20	imputed	ABCA2	protein-coding	ATP-binding cassette, sub-family A (ABC1), member 2
2000	imputed	ELF4	protein-coding	E74-like factor 4 (ets domain transcription factor)
200081	measured	TXLNA	protein-coding	taxilin alpha
2001	imputed	ELF5	protein-coding	E74-like factor 5 (ets domain transcription factor)
2002	imputed	ELK1	protein-coding	ELK1, member of ETS oncogene family
2004	imputed	ELK3	protein-coding	ELK3, ETS-domain protein (SRF accessory protein 2)
200576	imputed	PIKFYVE	protein-coding	phosphoinositide kinase, FYVE finger containing
2006	imputed	ELN	protein-coding	elastin
200734	measured	SPRED2	protein-coding	sprouty-related, EVH1 domain containing 2
2010	imputed	EMD	protein-coding	emerin
2011	imputed	MARK2	protein-coding	MAP/microtubule affinity-regulating kinase 2
2012	imputed	EMP1	protein-coding	epithelial membrane protein 1
201229	imputed	LYRM9	protein-coding	LYR motif containing 9
201254	imputed	STRA13	protein-coding	stimulated by retinoic acid 13
2013	imputed	EMP2	protein-coding	epithelial membrane protein 2
2014	imputed	EMP3	protein-coding	epithelial membrane protein 3
2015	imputed	ADGRE1	protein-coding	adhesion G protein-coupled receptor E1
201562	imputed	HACD2	protein-coding	3-hydroxyacyl-CoA dehydratase 2
2017	measured	CTTN	protein-coding	cortactin
2018	imputed	EMX2	protein-coding	empty spiracles homeobox 2
202	imputed	AIM1	protein-coding	absent in melanoma 1
2021	imputed	ENDOG	protein-coding	endonuclease G
2022	imputed	ENG	protein-coding	endoglin
2023	imputed	ENO1	protein-coding	enolase 1, (alpha)
2026	imputed	ENO2	protein-coding	enolase 2 (gamma, neuronal)
2027	imputed	ENO3	protein-coding	enolase 3 (beta, muscle)
2029	imputed	ENSA	protein-coding	endosulfine alpha
203	imputed	AK1	protein-coding	adenylate kinase 1
2030	imputed	SLC29A1	protein-coding	solute carrier family 29 (equilibrative nucleoside transporter), member 1
203068	imputed	TUBB	protein-coding	tubulin, beta class I
203069	imputed	R3HCC1	protein-coding	R3H domain and coiled-coil containing 1
203197	imputed	C9orf91	protein-coding	chromosome 9 open reading frame 91
2033	imputed	EP300	protein-coding	E1A binding protein p300
2034	imputed	EPAS1	protein-coding	endothelial PAS domain protein 1
2036	imputed	EPB41L1	protein-coding	erythrocyte membrane protein band 4.1-like 1
2037	measured	EPB41L2	protein-coding	erythrocyte membrane protein band 4.1-like 2
2039	imputed	DMTN	protein-coding	dematin actin binding protein
204	imputed	AK2	protein-coding	adenylate kinase 2
2040	imputed	STOM	protein-coding	stomatin
2042	measured	EPHA3	protein-coding	EPH receptor A3
2048	measured	EPHB2	protein-coding	EPH receptor B2
204851	imputed	HIPK1	protein-coding	homeodomain interacting protein kinase 1
2049	imputed	EPHB3	protein-coding	EPH receptor B3
205	imputed	AK4	protein-coding	adenylate kinase 4
2050	imputed	EPHB4	protein-coding	EPH receptor B4
2052	imputed	EPHX1	protein-coding	epoxide hydrolase 1, microsomal (xenobiotic)
2054	imputed	STX2	protein-coding	syntaxin 2
205564	imputed	SENP5	protein-coding	SUMO1/sentrin specific peptidase 5
2058	measured	EPRS	protein-coding	glutamyl-prolyl-tRNA synthetase
2059	imputed	EPS8	protein-coding	epidermal growth factor receptor pathway substrate 8
2060	imputed	EPS15	protein-coding	epidermal growth factor receptor pathway substrate 15
2063	measured	NR2F6	protein-coding	nuclear receptor subfamily 2, group F, member 6
206358	imputed	SLC36A1	protein-coding	solute carrier family 36 (proton/amino acid symporter), member 1
2064	measured	ERBB2	protein-coding	erb-b2 receptor tyrosine kinase 2
2065	measured	ERBB3	protein-coding	erb-b2 receptor tyrosine kinase 3
2067	imputed	ERCC1	protein-coding	excision repair cross-complementation group 1
2068	imputed	ERCC2	protein-coding	excision repair cross-complementation group 2
2069	imputed	EREG	protein-coding	epiregulin
207	measured	AKT1	protein-coding	v-akt murine thymoma viral oncogene homolog 1
2070	imputed	EYA4	protein-coding	EYA transcriptional coactivator and phosphatase 4
2071	imputed	ERCC3	protein-coding	excision repair cross-complementation group 3
2073	imputed	ERCC5	protein-coding	excision repair cross-complementation group 5
2077	imputed	ERF	protein-coding	Ets2 repressor factor
2078	imputed	ERG	protein-coding	v-ets avian erythroblastosis virus E26 oncogene homolog
2079	imputed	ERH	protein-coding	enhancer of rudimentary homolog (Drosophila)
